SPASE_ResourceName,HelioDate_short_name,SPASE_AlternateName,HelioDate_long_name
BARREL Balloon 2B,BARREL Balloon 2B,[''],BARREL Balloon 2B
BARREL Balloon 2C,BARREL Balloon 2C,[''],BARREL Balloon 2C
BARREL Balloon 2D,BARREL Balloon 2D,[''],BARREL Balloon 2D
BARREL Balloon 2E,BARREL Balloon 2E,[''],BARREL Balloon 2E
BARREL Balloon 2F,BARREL Balloon 2F,[''],BARREL Balloon 2F
BARREL Balloon 2I,BARREL Balloon 2I,[''],BARREL Balloon 2I
BARREL Balloon 2K,BARREL Balloon 2K,[''],BARREL Balloon 2K
BARREL Balloon 2L,BARREL Balloon 2L,[''],BARREL Balloon 2L
BARREL Balloon 2M,BARREL Balloon 2M,[''],BARREL Balloon 2M
BARREL Balloon 2N,BARREL Balloon 2N,[''],BARREL Balloon 2N
BARREL Balloon 2O,BARREL Balloon 2O,[''],BARREL Balloon 2O
BARREL Balloon 2P,BARREL Balloon 2P,[''],BARREL Balloon 2P
BARREL Balloon 2Q,BARREL Balloon 2Q,[''],BARREL Balloon 2Q
BARREL Balloon 2T,BARREL Balloon 2T,[''],BARREL Balloon 2T
BARREL Balloon 2W,BARREL Balloon 2W,[''],BARREL Balloon 2W
BARREL Balloon 2X,BARREL Balloon 2X,[''],BARREL Balloon 2X
BARREL Balloon 2Y,BARREL Balloon 2Y,[''],BARREL Balloon 2Y
BARREL Balloon 3A,BARREL Balloon 3A,[''],BARREL Balloon 3A
BARREL Balloon 3B,BARREL Balloon 3B,[''],BARREL Balloon 3B
BARREL Balloon 3C,BARREL Balloon 3C,[''],BARREL Balloon 3C
BARREL Balloon 3D,BARREL Balloon 3D,[''],BARREL Balloon 3D
BARREL Balloon 3E,BARREL Balloon 3E,[''],BARREL Balloon 3E
BARREL Balloon 3F,BARREL Balloon 3F,[''],BARREL Balloon 3F
BARREL Balloon 3G,BARREL Balloon 3G,[''],BARREL Balloon 3G
BARREL Balloon 4A,BARREL Balloon 4A,[''],BARREL Balloon 4A
BARREL Balloon 4B,BARREL Balloon 4B,[''],BARREL Balloon 4B
BARREL Balloon 4C,BARREL Balloon 4C,[''],BARREL Balloon 4C
BARREL Balloon 4D,BARREL Balloon 4D,[''],BARREL Balloon 4D
BARREL Balloon 4E,BARREL Balloon 4E,[''],BARREL Balloon 4E
BARREL Balloon 4F,BARREL Balloon 4F,[''],BARREL Balloon 4F
BARREL Balloon 4G,BARREL Balloon 4G,[''],BARREL Balloon 4G
BARREL Balloon 4H,BARREL Balloon 4H,[''],BARREL Balloon 4H
BARREL Balloon 5A,BARREL Balloon 5A,[''],BARREL Balloon 5A
BARREL Balloon 6A,BARREL Balloon 6A,[''],BARREL Balloon 6A
BARREL Balloon 7A,BARREL Balloon 7A,[''],BARREL Balloon 7A
British Antarctic Survey,British Antarctic Survey,['BAS'],BAS
Big Bear Solar Observatory (BBSO),Big Bear Solar Observatory (BBSO),[''],Big Bear Solar Observatory (BBSO)
BepiColombo Spacecraft,BepiColombo,[''],BepiColombo Spacecraft
CARISMA,CARISMA,"['Canadian Array for Realtime Investigations of Magnetic Activity', 'CANOPUS', 'Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth’s Neighborhood) Program Unified Study']",Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth’s Neighborhood) Program Unified Study
Cassini,Cassini,['Cassini Orbiter'],Cassini Orbiter
CHAMP,CHAMP,[''],CHAMP
CLIMAX,CLIMAX,[''],CLIMAX
Cluster Mission,Cluster,['Cluster II'],Cluster
Cluster FM5 (Rumba),Cluster FM5 (Rumba),"['Cluster 2/FM5 (Rumba)', '2000-045A', 'FM5', 'Rumba', 'Cluster-1']",Cluster 2/FM5 (Rumba)
Cluster FM6 (Salsa),Cluster FM6 (Salsa),"['Cluster 2/FM6 (Salsa)', '2000-041B', 'FM6', 'Salsa', 'Cluster-2']",Cluster 2/FM6 (Salsa)
Cluster FM7 (Samba),Cluster FM7 (Samba),"['Cluster 2/FM7 (Samba)', '2000-041A', 'FM7', 'Samba', 'Cluster-3']",Cluster 2/FM7 (Samba)
Cluster FM8 (Tango),Cluster FM8 (Tango),"['Cluster 2/FM8 (Tango)', '2000-045B', 'Cluster-4', 'Tango', 'FM8']",Cluster 2/FM8 (Tango)
Communication/Navigation Outage Forecasting System (C/NOFS),CNOFS,['Coupled Ion Neutral Dynamics Investigation (CINDI)'],Communication/Navigation Outage Forecasting System
CONT,CONT,[''],CONT
Coriolis,Coriolis,"['2003-001A', '27640']",2003-001A
CORONAS-F,CORONAS-F,"['KORONAS-F', 'AUS-SM-KF']",CORONAS F
CRRES,CRRES,"['1990-065A', 'Combined Release and Radiation Effects Satellite']",Combined Release and Radiation Effects Satellite
CSSWE,CSSWE,"['Colorado Student Space Weather Experiment, CSSWE, CubeSat']",Colorado Student Space Weather Experiment
Dawn,Dawn,[''],Dawn
DAWS,DAWS,[''],DAWS
Dynamics Explorer Mission,DE,['DE'],Dynamics Explorer
Daniel K Inouye Solar Telescope (DKIST),Daniel K Inouye Solar Telescope (DKIST),[''],Daniel K Inouye Solar Telescope (DKIST)
Geophysical Institute Magnetometer Array,Geophysical Institute Magnetometer Array,['DMI'],DMI
DMSP Series,DMSP,['Defense Meteorological Satellite Program'],Defense Meteorological Satellite Program
DMSP_5D-2,DMSP_5D 2,[''],DMSP_5D-2
DMSP_5D-2/F08,DMSP_5D 2 F08,"['DMSP-F8', 'USA 26', 'WX9543', '18123']",DMSP-F8
DMSP_5D-2/F09,DMSP_5D 2 F09,"['DMSP-F9', 'USA 29', '18822']",DMSP-F9
DMSP_5D-2/F10,DMSP_5D 2 F10,"['DMSP-F10', 'USA 68', '20978']",DMSP-F10
DMSP_5D-2/F11,DMSP_5D 2 F11,"['DMSP-F11', 'USA 73', '21798']",DMSP-F11
DMSP_5D-2/F12,DMSP_5D 2 F12,"['DMSP-F12', 'USA 106', '23233']",DMSP-F12
DMSP_5D-2/F13,DMSP_5D 2 F13,"['DMSP-F13', 'USA 109', '23533']",DMSP-F13
DMSP_5D-2/F14,DMSP_5D 2 F14,"['DMSP-F14', 'USA 131', '24753']",DMSP-F14
"Defense Meteorological Satellite Program, DMSP-F15","Defense Meteorological Satellite Program, DMSP F15","['DMSP_5D-3/F15', 'DMSP-F15', 'USA 147', '25991']",DMSP_5D-3/F15
"Defense Meteorological Satellite Program, DMSP-F16","Defense Meteorological Satellite Program, DMSP F16","['DMSP_5D-3/F16', 'DMSP-F16', 'USA 171', '28054']",DMSP_5D-3/F16
"Defense Meteorological Satellite Program, DMSP-F17","Defense Meteorological Satellite Program, DMSP F17","['DMSP_5D-3/F17', 'DMSP-F17', '29522']",DMSP_5D-3/F17
"Defense Meteorological Satellite Program, DMSP-F18","Defense Meteorological Satellite Program, DMSP F18","['DMSP_5D-3/F18', 'DMSP-F18', 'USA 210', '35951']",DMSP_5D-3/F18
"Defense Meteorological Satellite Program, DMSP-F19","Defense Meteorological Satellite Program, DMSP F19","['DMSP_5D-3/F19', 'DMSP-F19', 'USA 249', '39630']",DMSP_5D-3/F19
"Defense Meteorological Satellite Program, DMSP-S20","Defense Meteorological Satellite Program, DMSP S20",['DMSP_5D-3/S20'],DMSP_5D-3/S20
Double Star Mission,Double Star,"['Tan Ce', 'TC']",Tan Ce
Double Star 1,Double Star 1,"['2003-061A', 'Tan Ce1', 'TC 1', '28140']",2003-061A
Double Star 2,Double Star 2,"['2004-029A', 'Explorer  2', 'Tan Ce 2', 'TC 2']",Explorer  2
DRAO,DRAO,['Dominion Radio Astrophysical Observatory'],Dominion Radio Astrophysical Observatory
"Deep Space Climate Observatory, DSCOVR",DSCOVR,['2015-007A'],Deep Space Climate Observatory
Dunn Solar Telescope (DST),Dunn Solar Telescope (DST),[''],Dunn Solar Telescope (DST)
Dst Index Observatory Group,Dst Index Observatory Group,['Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.'],Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.
DSX,DSX,['Demonstrations and Science Experiment'],Demonstrations and Science Experiment
Technical University of Denmark Magnetic Ground Stations,Technical University of Denmark Magnetic Ground Stations,[''],Technical University of Denmark Magnetic Ground Stations
Dynamics Explorer 1,Dynamics Explorer 1,"['1981-070A', 'Explorer 62', 'DE-A', 'DE 1', 'Dynamics Explorer-A']",Dynamics Explorer-A
Dynamics Explorer 2,Dynamics Explorer 2,"['1981-070B', 'Explorer 63', 'DE-B', 'DE 2', 'Dynamics Explorer-B']",Dynamics Explorer-B
e-CALLISTO International Network of Solar Radio Spectrometers,e CALLISTO International Network of Solar Radio Spectrometers,[''],e-CALLISTO International Network of Solar Radio Spectrometers
"ELFIN A, CubeSat",ELFIN A,[''],"Electron Losses and Fields Investigation A, CubeSat"
"ELFIN B, CubeSat",ELFIN B,[''],"Electron Losses and Fields Investigation B, CubeSat"
Emirates Mars Mission (EMM),Emirates Mars (EMM),[''],Emirates Mars Mission (EMM)
Equator-S,Equator S,"['ISTP/Equator-S', '25068']",ISTP/Equator-S
ESKI,ESKI,[''],ESKI
Evans Solar Facility,Evans Solar Facility,"['ESF', 'John W. Evans Solar Facility']",John W. Evans Solar Facility
Explorer Spacecraft Series,Explorer Spacecraft Series,[''],Explorer Spacecraft Series
Explorer 22,Explorer 22,"['1964-064A', 'BE-B', 'Beacon Explorer-B']",Beacon Explorer-B
Explorer 31,Explorer 31,"['1965-098B', 'DME-A', '01806']",1965-098B
Explorer 32,Explorer 32,"['1966-044A', 'AE-B', 'Atmosphere Explorer-B', '02183']",Atmosphere Explorer-B
Explorer 33,Explorer 33,"['IMP D', 'AIMP A', 'AIMP 1', '02258']",AIMP A
Explorer 35,Explorer,"['IMP E', 'AIMP B', 'AIMP 2', 'Anchored IMP 2', '02884']",Anchored IMP 2
FAST,FAST,"['1996-049A', 'Small Explorer/FAST', 'Explorer 70', 'SMEX/FAST', 'Fast Auroral SnapshoT Explorer']",Fast Auroral Snapshot
Fermi Gamma-ray Space Telescope,Fermi Gamma ray Space Telescope,[''],Fermi Gamma-ray Space Telescope
MCMU,MCMU,[''],MCMU
FSIM,FSIM,[''],FSIM
FSMI,FSMI,[''],FSMI
Galileo,Galileo,"['Galileo Orbiter-Probe', 'Jupiter Orbiter-Probe']",Galileo Orbiter-Probe
Genesis,Genesis,"['2001-034A', 'Genesis Solar Wind Sample Return']",Genesis Solar Wind Sample Return
Geotail,Geotail,"['1992-044A', 'GTL', 'ISTP/Geotail', 'GGS/Geotail', 'Geomagnetic Tail Lab']",Geomagnetic Tail Lab
GILL,GILL,[''],GILL
Giotto,Giotto,[''],Giotto
Gravity Field and Steady-State Ocean Circulation Explorer (GOCE),Gravity Field and Steady State Ocean Circulation Explorer (GOCE),[''],Gravity Field and Steady-State Ocean Circulation Explorer (GOCE)
Geostationary Operational Environmental Satellites,GOES1,['GOES Satellite Series'],Geostationary Operational Environmental Satellites
GOES 1,GOES 1,"['Geostationary Operational Environmental Satellites 1', '1975-100A']",Geostationary Operational Environmental Satellites 1
GOES 10,GOES 10,"['1997-019A', 'GOES-K']",1997-019A
GOES 11,GOES 11,"['2000-022A', 'GOES-L', 'GOES-NEXT']",2000-022A
GOES 12,GOES 12,"['2001-031A', 'GOES-M']",2001-031A
GOES 13,GOES 13,"['Geostationary Operational Environmental Satellite 13', '2006-018A', 'GOES N']",Geostationary Operational Environmental Satellite 13
GOES 14,GOES 14,"['Geostationary Operational Environmental Satellite 14', 'GOES O', '2009-033A']",Geostationary Operational Environmental Satellite 14
GOES 15,GOES 15,"['Geostationary Operational Environmental Satellite 15', '2010-008A', 'GOES P']",Geostationary Operational Environmental Satellite 15
GOES 16,GOES 16,"['Geostationary Operational Environmental Satellite 16', '2016-071A', 'GOES R']",Geostationary Operational Environmental Satellite 16
GOES 17,GOES 17,"['Geostationary Operational Environmental Satellite 17', '2018-022A', 'GOES S']",Geostationary Operational Environmental Satellite 17
GOES 2,GOES 2,"['Geostationary Operational Environmental Satellites 2', '1977-048A']",Geostationary Operational Environmental Satellites 2
GOES 3,GOES 3,"['Geostationary Operational Environmental Satellites 3', '1978-062A']",Geostationary Operational Environmental Satellites 3
Geostationary Operational Environmental Satellites 4,Geostationary Operational Environmental Satellites,"['GOES 4', '1980-074A']",1980-074A
GOES 5,GOES 5,"['1981-049A', 'GOES-E']",1981-049A
GOES 6,GOES 6,"['1983-041A', 'GOES-F']",1983-041A
GOES 7,GOES 7,"['1987-022A', 'GOES-H', 'PEACESAT']",1987-022A
GOES 8,GOES 8,"['1994-022A', 'GOES-NEXT', 'GOES-I']",1994-022A
GOES 9,GOES 9,"['1995-025A', 'GOES-NEXT', 'GOES-J']",1995-025A
GOLD,GOLD,"['SES-14', '43175']",Global-scale Observations of the Limb and Disk
GONG Observatory Group,GONG Observatory Group,['Global Oscillation Network Group'],Global Oscillation Network Group
Gravity Recovery and Climate Experiment (GRACE),Gravity Recovery and Climate Experiment (GRACE),[''],Gravity Recovery and Climate Experiment (GRACE)
Granat,Granat,['ASTRON 2'],ASTRON 2
Abinger,Abinger,['Observatory Station Code: ABN'],Observatory Station Code: ABN
Abisko,Abisko,['Observatory Station Code: ABK'],Observatory Station Code: ABK
Addis Ababa,Addis Ababa,['Observatory Station Code: AAE'],Observatory Station Code: AAE
Agincourt,Agincourt,['Observatory Station Code: AGN'],Observatory Station Code: AGN
Akulivik Geophysical Observatory,Akulivik Geophysical Observatory,[''],Akulivik Geophysical Observatory
Alert,Alert,['Observatory Station Code: ALE'],Observatory Station Code: ALE
Alibag,Alibag,['Observatory Station Code: ABG'],Observatory Station Code: ABG
Alma Ata,Alma Ata,['Observatory Station Code: AAA'],Observatory Station Code: AAA
Almeria,Almeria,['Observatory Station Code: ALM'],Observatory Station Code: ALM
Amatsia,Amatsia,['Observatory Station Code: AMT'],Observatory Station Code: AMT
Amberley,Amberley,['Observatory Station Code: AML'],Observatory Station Code: AML
Amderma Geophysical Observatory,Amderma Geophysical Observatory,[''],Amderma Geophysical Observatory
Americus Geophysical Observatory,Americus Geophysical Observatory,['Observatory Station Code: AMER'],Observatory Station Code: AMER
Anchorage Geophysical Observatory,Anchorage Geophysical Observatory,[''],Anchorage Geophysical Observatory
Andenes Geophysical Observatory,Andenes Geophysical Observatory,[''],Andenes Geophysical Observatory
Annamalainagar,Annamalainagar,['Observatory Station Code: ANN'],Observatory Station Code: ANN
Antananarivo,Antananarivo,['Observatory Station Code: TAN'],Observatory Station Code: TAN
Apia,Apia,['Observatory Station Code: API'],Observatory Station Code: API
Arctic Village Geophysical Observatory,Arctic Village Geophysical Observatory,['Observatory Station Code: ARCT'],Observatory Station Code: ARCT
Arctowski,Arctowski,['Observatory Station Code: ARC'],Observatory Station Code: ARC
Arequipa,Arequipa,['Observatory Station Code: ARE'],Observatory Station Code: ARE
Arkhangelsk,Arkhangelsk,['Observatory Station Code: ARK'],Observatory Station Code: ARK
Arti,Arti,['Observatory Station Code: ARS'],Observatory Station Code: ARS
Ascension Island,Ascension Island,['Observatory Station Code: ASC'],Observatory Station Code: ASC
Ashkhabad,Ashkhabad,"['Vannovskaya', 'Observatory Station Code: ASH']",Observatory Station Code: ASH
Aso,Aso,['Observatory Station Code: ASO'],Observatory Station Code: ASO
Athabasca Geophysical Observatory,Athabasca Geophysical Observatory,[''],Athabasca Geophysical Observatory
Attu Geophysical Observatory,Attu Geophysical Observatory,[''],Attu Geophysical Observatory
Augsburg Searchcoil Observatory Group,Augsburg Searchcoil Observatory Group,['Augsburg College Search Coil Ground Observatory Group'],Augsburg College Search Coil Ground Observatory Group
AUTUMN,AUTUMN,['Athabasca University THEMIS UCLA Magnetometer Network'],Athabasca University THEMIS UCLA Magnetometer Network
Baguio,Baguio,['Observatory Station Code: BAG'],Observatory Station Code: BAG
Baker Lake Geophysical Observatory,Baker Lake Geophysical Observatory,[''],Baker Lake Geophysical Observatory
Bangui,Bangui,['Observatory Station Code: BNG'],Observatory Station Code: BNG
Bar Gyora,Bar Gyora,['Observatory Station Code: BGY'],Observatory Station Code: BGY
Baranov Geophysical Observatory,Baranov Geophysical Observatory,[''],Baranov Geophysical Observatory
Barentsburg Geophysical Observatory,Barentsburg Geophysical Observatory,[''],Barentsburg Geophysical Observatory
Barrow Geophysical Observatory,Barrow Geophysical Observatory,[''],Barrow Geophysical Observatory
British Antarctic Survey,British Antarctic Survey,['BAS'],BAS
Bay Mills Geophysical Observatory,BMLS,['Observatory Station Code: BMLS'],Observatory Station Code: BMLS
Big Bear Solar Observatory,Big Bear Solar Observatory,['BBSO'],BBSO
BCMT,BCMT,"['French National Magnetic Observatory', 'Bureau Central De Magnetisme Terrestre France']",Bureau Central De Magnetisme Terrestre France
Bear Island,Bear Island,"['Observatory Station Code: BJN', 'Bjørnøya']",Observatory Station Code: BJN
Beijing,Beijing,['Observatory Station Code: BJI'],Observatory Station Code: BJI
Beijing Ming Tombs,Beijing Ming Tombs,['Observatory Station Code: BMT'],Observatory Station Code: BMT
Beloit,Beloit,['Observatory Station Code: BLT'],Observatory Station Code: BLT
Belsk,Belsk,['Observatory Station Code: BEL'],Observatory Station Code: BEL
Bennington Geophysical Observatory,BENN,[''],Bennington Geophysical Observatory
Bereznyaki,Bereznyaki,['Observatory Station Code: KGD'],Observatory Station Code: KGD
Bettles Geophysical Observatory,BETT,[''],Bettles Geophysical Observatory
BGS,BGS,['British Geological Survey'],British Geological Survey
Big Delta,Big Delta,['Observatory Station Code: BDE'],Observatory Station Code: BDE
Bjorn,Bjorn,['Observatory Station Code: BJN'],Observatory Station Code: BJN
Bjornoya Geophysical Observatory,Bjornoya Geophysical Observatory,[''],Bjornoya Geophysical Observatory
Black Forest,Black Forest,['Observatory Station Code: BFO'],Observatory Station Code: BFO
Borok,Borok,['Observatory Station Code: BOX'],Observatory Station Code: BOX
Boulder Geophysical Observatory,Boulder Geophysical Observatory,[''],Boulder Geophysical Observatory
Brorfelde Geophysical Observatory,Brorfelde Geophysical Observatory,[''],Brorfelde Geophysical Observatory
Budkov,Budkov,['Observatory Station Code: BDV'],Observatory Station Code: BDV
Burlington,Burlington,['Observatory Station Code: BRT'],Observatory Station Code: BRT
Byrd Station 2,Byrd Station 2,['Observatory Station Code: BYR'],Observatory Station Code: BYR
Cambridge Bay Geophysical Observatory,Cambridge Bay Geophysical Observatory,[''],Cambridge Bay Geophysical Observatory
CANadian Magnetic Observatory System,CANMOS,['CANMOS'],CANMOS
CANOPUS,CANOPUS,"['Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study', 'CARISMA', 'Canadian Array for Realtime Investigations of Magnetic Activity']",Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study
Cape Chelyuskin,Cape Chelyuskin,['Observatory Station Code: CCS'],Observatory Station Code: CCS
Cape Dorset Geophysical Observatory,CDRT,[''],Cape Dorset Geophysical Observatory
Cape Town,Cape Town,['Observatory Station Code: CTO'],Observatory Station Code: CTO
Cape Wellen,Cape Wellen,"['Uelen', 'Observatory Station Code: CWE']",Observatory Station Code: CWE
CARISMA,CARISMA,"['Canadian Array for Realtime Investigations of Magnetic Activity', 'CANOPUS', 'Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study']",Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study
Carrollton,Carrollton,['Observatory Station Code: CAX'],Observatory Station Code: CAX
Carson City Geophysical Observatory,CCNV,[''],Carson City Geophysical Observatory
Castellaccio,Castellaccio,['Observatory Station Code: CAO'],Observatory Station Code: CAO
Centro Geofisico,Centro Geofisico,['Observatory Station Code: HVN'],Observatory Station Code: HVN
Cha Pa,Cha Pa,"['Sapa', 'Observatory Station Code: CPA']",Observatory Station Code: CPA
Chambon-la-Foret,Chambon la Foret,['Observatory Station Code: CLF'],Observatory Station Code: CLF
Changchun,Changchun,"['Helong', 'Observatory Station Code: CNH']",Observatory Station Code: CNH
Charcot,Charcot,['Observatory Station Code: CTX'],Observatory Station Code: CTX
Charters Towers,Charters Towers,['Observatory Station Code: CTA'],Observatory Station Code: CTA
Cheltenham,Cheltenham,['Observatory Station Code: CLH'],Observatory Station Code: CLH
Chengdu,Chengdu,['Observatory Station Code: CDP'],Observatory Station Code: CDP
Chibougamau Geophysical Observatory,CHBG,[''],Chibougamau Geophysical Observatory
Chibougaou,Chibougaou,['Observatory Station Code: CHBG'],Observatory Station Code: CHBG
Chichijima,Chichijima,['Observatory Station Code: CBI'],Observatory Station Code: CBI
Clyde River Geophysical Observatory,CRVR,[''],Clyde River Geophysical Observatory
Coimbra,Coimbra,['Observatory Station Code: COI'],Observatory Station Code: COI
College Geophysical Observatory,College Geophysical Observatory,[''],College Geophysical Observatory
Colville National Forest Geophysical Observatory,Colville National Forest Geophysical Observatory,[''],Colville National Forest Geophysical Observatory
Coral Harbour Geophysical Observatory,CHBR,['Observatory Station Code: CHBR'],Observatory Station Code: CHBR
CTIO,CTIO,[''],CTIO
Dallas,Dallas,['Observatory Station Code: DAL'],Observatory Station Code: DAL
Daneborg Geophysical Observatory,DNB,[''],Daneborg Geophysical Observatory
Danmarkshavn Geophysical Observatory,DMH,[''],Danmarkshavn Geophysical Observatory
Davao,Davao,['Observatory Station Code: DAV'],Observatory Station Code: DAV
De Bilt,De Bilt,['Observatory Station Code: DBN'],Observatory Station Code: DBN
